,Accuracy,Precision,Recall,F1-Score,ROC-AUC,False Negatives,False Positives,True Positives,True Negatives
Baseline (No Balancing),0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9928902116402116,3.0,0.0,39.0,72.0
Class Weights,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9965277777777778,3.0,0.0,39.0,72.0
Random Oversampling,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9973544973544974,4.0,1.0,38.0,71.0
SMOTE,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9963624338624338,3.0,0.0,39.0,72.0
ADASYN,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9976851851851852,3.0,0.0,39.0,72.0
Borderline SMOTE,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9990079365079365,1.0,0.0,41.0,72.0
Random Undersampling,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9976851851851851,3.0,1.0,39.0,71.0
SMOTE+Tomek,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9953703703703703,3.0,0.0,39.0,72.0
SMOTE+ENN,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9955357142857142,3.0,0.0,39.0,72.0
